127.0.0.1 - - [14/Jan/2021:17:24:27 -0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:24:28 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:24:28 -0800] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:25:11 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:27:24 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:28:08 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:28:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:29:31 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:29:46 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:32:44 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:33:12 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:33:19 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:34:01 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3471
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:34:26 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:35:14 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:36:32 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:37:23 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:38:07 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:38:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:40:11 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3579
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:40:46 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3579
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:43:11 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3606
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:43:15 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3606
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:44:03 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3606
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:46:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3645
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:46:57 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3645
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:47:10 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:47:32 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3692
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:48:23 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:49:49 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:50:14 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:50:31 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:51:30 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:51:34 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [14/Jan/2021:17:51:42 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:00:10 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:11:19 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:11:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:17:02 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:17:12 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:17:19 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4221
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:17:30 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4227
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:17:33 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4227
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:17:36 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4227
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:17:41 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:17:44 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:18:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:20:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:20:49 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:21:37 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4258
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:22:21 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:27:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:28:46 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4346
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:32:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:34:09 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:34:17 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:35:34 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:36:38 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4470
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:36:51 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:37:38 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:41:02 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4496
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:41:02 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 200 6269
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:42:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:42:48 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:43:04 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:43:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:43:40 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:43:50 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:48:36 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:48:36 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:50:13 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4553
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:50:13 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:50:30 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4553
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:50:39 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4554
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:50:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4554
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:53:49 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:53:49 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:53:51 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:53:51 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:54:05 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:54:28 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:54:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4591
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:55:01 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:55:50 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:55:50 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:56:32 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:57:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:58:44 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4592
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:58:44 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:18:59:34 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4592
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:18:00 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:18:00 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:18:58 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:19:19 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:23:00 -0800] "GET /PortfollioSite/linkedin.com/in/kobe-weinstei HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:23:13 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4662
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:23:13 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:23:26 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:26:46 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:27:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:27:58 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:27:58 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:28:46 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:29:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:29:37 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:30:06 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:30:24 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:32:19 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:32:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5420
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:33:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5420
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:33:48 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:34:25 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:34:31 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:34:39 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:34:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [14/Jan/2021:19:34:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 5425
