127.0.0.1 - - [18/Jan/2021:12:53:06 -0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [18/Jan/2021:12:53:06 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14583
0:0:0:0:0:0:0:1 - - [18/Jan/2021:12:53:06 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2021:12:53:08 -0800] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:14:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14583
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:14:50 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14583
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:14:57 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14071
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:41:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14507
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:41:59 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14508
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:42:23 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14508
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:45:47 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14505
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:45:47 -0800] "GET /PortfollioSite/photo.png HTTP/1.1" 200 609681
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:49:31 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14533
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:49:31 -0800] "GET /PortfollioSite/photo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:50:17 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14532
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:50:17 -0800] "GET /PortfollioSite/photo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:57:58 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14532
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:57:58 -0800] "GET /PortfollioSite/photo.png HTTP/1.1" 200 226655
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:58:10 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 14532
0:0:0:0:0:0:0:1 - - [18/Jan/2021:13:58:10 -0800] "GET /PortfollioSite/photo.png HTTP/1.1" 304 -
